,Book,Author,Description,Genres,Avg_Rating,Num_Ratings,URL
1937,The Bloody Chamber and Other Stories,Angela Carter,"Angela Carter was a storytelling sorceress, the literary godmother of Neil Gaiman, David Mitchell, Audrey Niffenegger, J. K. Rowling, Kelly Link, and other contemporary masters of supernatural fiction. In her masterpiece, The Bloody Chamber—which includes the story that is the basis of Neil Jordan’s 1984 movie The Company of Wolves—she spins subversively dark and sensual versions of familiar fairy tales and legends like “Little Red Riding Hood,” “Bluebeard,” “Puss in Boots,” and “Beauty and the Beast,” giving them exhilarating new life in a style steeped in the romantic trappings of the gothic tradition.","['Short Stories', 'Fantasy', 'Fiction', 'Horror', 'Gothic', 'Classics', 'Fairy Tales']",3.94,"51,520",https://www.goodreads.com/book/show/49011.The_Bloody_Chamber_and_Other_Stories
1938,"The Mote in God's Eye (Moties, #1)",Larry Niven,"In 3016, the 2nd Empire of Man spans hundreds of star systems, thanks to faster-than-light Alderson Drive. Intelligent beings are finally found from the Mote, an isolated star in a thick dust cloud. The bottled-up ancient civilization, at least one million years old, are welcoming, kind, yet evasive, with a dark problem they have not solved in over a million years.","['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Space Opera', 'Aliens', 'Fantasy', 'Audiobook']",4.07,"68,062",https://www.goodreads.com/book/show/100365.The_Mote_in_God_s_Eye
1939,Out of My Mind,Sharon M. Draper,"Melody is not like most people. She cannot walk or talk, but she has a photographic memory; she can remember every detail of everything she has ever experienced. She is smarter than most of the adults who try to diagnose her and smarter than her classmates in her integrated classroom - the very same classmates who dismiss her as mentally challenged because she cannot tell them otherwise. But Melody refuses to be defined by cerebral palsy. And she's determined to let everyone know it - somehow.","['Realistic Fiction', 'Young Adult', 'Middle Grade', 'Fiction', 'Contemporary', 'Childrens', 'Disability']",4.36,"149,032",https://www.goodreads.com/book/show/6609765-out-of-my-mind
1940,"Gone (Gone, #1)",Michael  Grant,"In the blink of an eye, everyone disappears. Gone. Except for the young.There are teens, but not one single adult. Just as suddenly, there are no phones, no internet, no television. No way to get help. And no way to figure out what's happened.Hunger threatens. Bullies rule. A sinister creature lurks. Animals are mutating. And the teens themselves are changing, developing new talents—unimaginable, dangerous, deadly powers—that grow stronger by the day. It's a terrifying new world. Sides are being chosen, a fight is shaping up. Townies against rich kids. Bullies against the weak. Powerful against powerless. And time is running out: On your 15th birthday, you disappear just like everyone else...","['Young Adult', 'Dystopia', 'Fantasy', 'Science Fiction', 'Fiction', 'Paranormal', 'Romance']",3.86,"196,468",https://www.goodreads.com/book/show/2536134.Gone
1941,A Hero of Our Time,Mikhail Lermontov,"In its adventurous happenings, its abductions, duels, and sexual intrigues, A Hero of Our Time looks backward to the tales of Sir Walter Scott and Lord Byron, so beloved by Russian society in the 1820s and '30s. In the character of its protagonist, Pechorin, the archetypal Russian antihero, Lermontov's novel looks forward to the subsequent glories and passion of Russian literature that it helped, in great measure, to make possible.","['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', '19th Century', 'Novels']",4.11,"55,719",https://www.goodreads.com/book/show/226378.A_Hero_of_Our_Time
1942,"Bird Box (Bird Box, #1)",Josh Malerman,"Alternate cover edition of ISBN 9780062259653Something is out there, something terrifying that must not be seen. One glimpse of it, and a person is driven to deadly violence. No one knows what it is or where it came from.Five years after it began, a handful of scattered survivors remains, including Malorie and her two young children. Living in an abandoned house near the river, she has dreamed of fleeing to a place where they might be safe. Now that the boy and girl are four, it's time to go, but the journey ahead will be terrifying: twenty miles downriver in a rowboat—blindfolded—with nothing to rely on but her wits and the children's trained ears. One wrong choice and they will die. Something is following them all the while, but is it man, animal, or monster?Interweaving past and present, Bird Box is a snapshot of a world unraveled that will have you racing to the final page.","['Horror', 'Fiction', 'Thriller', 'Dystopia', 'Mystery', 'Science Fiction', 'Post Apocalyptic']",4.04,"177,090",https://www.goodreads.com/book/show/18498558-bird-box
1943,Big Money: A Global Financial Thriller (Financial Conspiracy Series Book 1),James  Hudson,"🔥🌟⚡George Hartley wakes up and realizes that he’s lost his memory. He sees a dead woman sitting in a wheelchair. George searches the place and finds himself trapped in a skyscraper. 🏙 Someone left the documents revealing that his ex-colleagues, financial partners, and even intelligence officers had been spying on him, watching his business activity, digging up dirt on him, and someone must have poisoned him. ⚡🌟🔥Numerous facts show that George Hartley was one of the most influential investors and traders in London 💰. He was the head of the largest British financial fund.🇬🇧All of a sudden, his enemies make an attempt to kill him, and George Hartley barely escapes the skyscraper 🚁🚖🏎. He shakes off the pursuers, finds a temporary hideout, and continues to collect the information on his life. 👣Soon, George finds out that for many years, he has been engaged in high-level behind-the-scenes machinations as a creator and manipulator of future financial developments, events, international scandals, information wars that affected stock and commodity markets’ prices. For the past several months, he met North Korean leader 🇰🇵and convinced him to launch a missile, 🚀 conducted an operation against Saudi Arabian Oil Company 🇸🇦, and set off a panic in the oil market, held a secret meeting with a Russian oligarch to speculate on sanctions against Russia. 🇷🇺The more facts George Hartley finds out, the more he realizes he misled and deceived thousands of traders and investors, and probably bankrupted them. He hates his past and wants to start a new life. 🏖But his ex-colleagues and enemies don’t let him leave the game. They start using him as a money-making machine, trading and manipulating his life and death. 🔥George Hartley has nothing to do but to declare financial war against them. ⚔ 💥🌏🍀🍀🍀☝
Dear Reader! Don't forget to 👉'Look Inside'👈 the book and read several chapters! You won't regret it!
 💖💖💖",[],3.87,53,https://www.goodreads.com/book/show/53052896-big-money
1944,"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,"Jill and Eustace must rescue the Prince from the evil Witch.NARNIA...where owls are wise, where some of the giants like to snack on humans, where a prince is put under an evil spell...and where the adventure begins.Eustace and Jill escape from the bullies at school through a strange door in the wall, which, for once, is unlocked. It leads to the open moor...or does it? Once again Aslan has a task for the children, and Narnia needs them. Through dangers untold and caverns deep and dark, they pursue the quest that brings them face to face with the evil Witch. She must be defeated if Prince Rillian is to be saved.","['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure']",3.96,"281,111",https://www.goodreads.com/book/show/65641.The_Silver_Chair
1945,Small Great Things,Jodi Picoult,"Ruth Jefferson is a labor and delivery nurse at a Connecticut hospital with more than twenty years' experience. During her shift, Ruth begins a routine checkup on a newborn, only to be told a few minutes later that she's been reassigned to another patient. The parents are white supremacists and don't want Ruth, who is African American, to touch their child. The hospital complies with their request, but the next day, the baby goes into cardiac distress while Ruth is alone in the nursery. Does she obey orders or does she intervene? Ruth hesitates before performing CPR and, as a result, is charged with a serious crime. Kennedy McQuarrie, a white public defender, takes her case but gives unexpected advice: Kennedy insists that mentioning race in the courtroom is not a winning strategy. Conflicted by Kennedy's counsel, Ruth tries to keep life as normal as possible for her family—especially her teenage son—as the case becomes a media sensation. As the trial moves forward, Ruth and Kennedy must gain each other's trust, and come to see that what they've been taught their whole lives about others—and themselves—might be wrong. With incredible empathy, intelligence, and candor, Jodi Picoult tackles race, privilege, prejudice, justice, and compassion—and doesn't offer easy answers. Small Great Things is a remarkable achievement from a writer at the top of her game.","['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Book Club', 'Race']",4.35,"340,377",https://www.goodreads.com/book/show/41021501-small-great-things
1946,Genghis Khan and the Making of the Modern World,Jack Weatherford,"The name Genghis Khan often conjures the image of a relentless, bloodthirsty barbarian on horseback leading a ruthless band of nomadic warriors in the looting of the civilized world. But the surprising truth is that Genghis Khan was a visionary leader whose conquests joined backward Europe with the flourishing cultures of Asia to trigger a global awakening, an unprecedented explosion of technologies, trade, and ideas. In Genghis Khan and the Making of the Modern World, Jack Weatherford, the only Western scholar ever to be allowed into the Mongols’ “Great Taboo”—Genghis Khan’s homeland and forbidden burial site—tracks the astonishing story of Genghis Khan and his descendants, and their conquest and transformation of the world. Fighting his way to power on the remote steppes of Mongolia, Genghis Khan developed revolutionary military strategies and weaponry that emphasized rapid attack and siege warfare, which he then brilliantly used to overwhelm opposing armies in Asia, break the back of the Islamic world, and render the armored knights of Europe obsolete. Under Genghis Khan, the Mongol army never numbered more than 100,000 warriors, yet it subjugated more lands and people in twenty-five years than the Romans conquered in four hundred. With an empire that stretched from Siberia to India, from Vietnam to Hungary, and from Korea to the Balkans, the Mongols dramatically redrew the map of the globe, connecting disparate kingdoms into a new world order. But contrary to popular wisdom, Weatherford reveals that the Mongols were not just masters of conquest, but possessed a genius for progressive and benevolent rule. On every level and from any perspective, the scale and scope of Genghis Khan’s accomplishments challenge the limits of imagination. Genghis Khan was an innovative leader, the first ruler in many conquered countries to put the power of law above his own power, encourage religious freedom, create public schools, grant diplomatic immunity, abolish torture, and institute free trade. The trade routes he created became lucrative pathways for commerce, but also for ideas, technologies, and expertise that transformed the way people lived. The Mongols introduced the first international paper currency and postal system and developed and spread revolutionary technologies like printing, the cannon, compass, and abacus. They took local foods and products like lemons, carrots, noodles, tea, rugs, playing cards, and pants and turned them into staples of life around the world. The Mongols were the architects of a new way of life at a pivotal time in history. In Genghis Khan and the Making of the Modern World, Jack Weatherford resurrects the true history of Genghis Khan, from the story of his relentless rise through Mongol tribal culture to the waging of his devastatingly successful wars and the explosion of civilization that the Mongol Empire unleashed. This dazzling work of revisionist history doesn’t just paint an unprecedented portrait of a great leader and his legacy, but challenges us to reconsider how the modern world was made.From the Hardcover edition.","['History', 'Nonfiction', 'Biography', 'Asia', 'Historical', 'World History', 'Audiobook']",4.04,"68,791",https://www.goodreads.com/book/show/40718726-genghis-khan-and-the-making-of-the-modern-world
1947,"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,"Melanie is a very special girl. Dr. Caldwell calls her ""our little genius.""Every morning, Melanie waits in her cell to be collected for class. When they come for her, Sergeant Parks keeps his gun pointing at her while two of his people strap her into the wheelchair. She thinks they don't like her. She jokes that she won't bite, but they don't laugh.Melanie loves school. She loves learning about spelling and sums and the world outside the classroom and the children's cells. She tells her favorite teacher all the things she'll do when she grows up. Melanie doesn't know why this makes Miss Justineau look sad.The Girl with All the Gifts is a sensational thriller, perfect for fans of Stephen King, Justin Cronin, and Neil Gaiman.","['Horror', 'Fiction', 'Science Fiction', 'Zombies', 'Dystopia', 'Post Apocalyptic', 'Fantasy']",3.95,"216,719",https://www.goodreads.com/book/show/17235026-the-girl-with-all-the-gifts
1948,A Gathering of Twine,Martin Adil-Smith,"""Everything about you is a lie.""  Freeman Sullivan is a man running out of time. As he submits his final manuscript to his sceptical editor, he tells the story of Professor George Tate, and Celus - his seemingly ageless assistant - as they are expelled from the British Museum and embark on a journey that leaves a wake of irrevocably changed lives.  Because Freeman has realised the Professor's truth - that the walls are thinning and the shadows are lengthening as our world awaits Her arrival.","['Horror', 'Gothic', 'Fantasy', 'Fiction', 'Conspiracy Theories', 'Occult', 'Science Fiction']",4.27,282,https://www.goodreads.com/book/show/18393748-a-gathering-of-twine
1949,Grim Fairy Tales,Adam Nicke,"Ten haunting tales of the ghostly, decadent, and supernatural by Adam Nicke, author of Temptation and Denial.Written in the style of late 19th century masters of the macabre, each weirdly twisting tale is haunted by characters confronting their inner turmoil and the dark recesses of the soul.Escape the modern age and let the lush, sensuous language within these pages wash over you as gently as the crimson hues of twilight on an early Autumn evening.Cult collection back in print after 22 years. Best read by candlelight.","['Classics', 'Horror']",4.54,114,https://www.goodreads.com/book/show/35760543-grim-fairy-tales
1950,The Female Eunuch,Germaine Greer,"The clarion call to change that galvanized a generation.When Germaine Greer's The Female Eunuch was first published it created a shock wave of recognition in women, one that could be felt around the world. It went on to become an international bestseller, translated into more than twelve languages, and a landmark in the history of the women's movement. Positing that sexual liberation is the key to women's liberation, Greer looks at the inherent and unalterable biological differences between men and women as well as at the profound psychological differences that result from social conditioning. Drawing on history, literature, biology, and popular culture, Greer's searing examination of women's oppression is a vital, passionately argued social commentary that is both an important historical record of where we've been and a shockingly relevant treatise on what still remains to be achieved.","['Feminism', 'Nonfiction', 'Philosophy', 'Politics', 'Womens', 'Gender', 'Classics']",3.7,"6,818",https://www.goodreads.com/book/show/98532.The_Female_Eunuch
1951,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"After losing his leg to a land mine in Afghanistan, Cormoran Strike is barely scraping by as a private investigator. Then John Bristow walks through his door with an amazing story: His sister, the legendary supermodel Lula Landry, famously fell to her death a few months earlier. The police ruled it a suicide, but John refuses to believe that. The case plunges Strike into the world of multimillionaire beauties, rock-star boyfriends, and desperate designers, and it introduces him to every variety of pleasure, enticement, seduction, and delusion known to man.","['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Adult']",3.88,"553,459",https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling
1952,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman,"Lia Lee was born in 1982 to a family of recent Hmong immigrants, and soon developed symptoms of epilepsy. By 1988 she was living at home but was brain dead after a tragic cycle of misunderstanding, over-medication, and culture clash: ""What the doctors viewed as clinical efficiency the Hmong viewed as frosty arrogance."" The Spirit Catches You and You Fall Down is a tragedy of Shakespearean dimensions, written with the deepest of human feeling. Sherwin Nuland said of the account, ""There are no villains in Fadiman's tale, just as there are no heroes. People are presented as she saw them, in their humility and their frailty—and their nobility.","['Nonfiction', 'Medicine', 'Anthropology', 'Medical', 'Science', 'Memoir', 'Biography']",4.19,"79,409",https://www.goodreads.com/book/show/12609.The_Spirit_Catches_You_and_You_Fall_Down
1953,The Luminaries,Eleanor Catton,"It is 1866, and young Walter Moody has come to make his fortune upon the New Zealand goldfields. On the stormy night of his arrival, he stumbles across a tense gathering of twelve local men who have met in secret to discuss a series of unexplained events: A wealthy man has vanished, a prostitute has tried to end her life, and an enormous fortune has been discovered in the home of a luckless drunk. Moody is soon drawn into the mystery: a network of fates and fortunes that is as complex and exquisitely ornate as the night sky. Richly evoking a mid-nineteenth-century world of shipping, banking, and gold rush boom and bust, The Luminaries is a brilliantly constructed, fiendishly clever ghost story and a gripping page-turner.","['Fiction', 'Historical Fiction', 'Mystery', 'Historical', 'Literary Fiction', 'Contemporary', 'Literature']",3.74,"76,974",https://www.goodreads.com/book/show/17333230-the-luminaries
1954,Hairspray and Lighter,J. Jupes,All Detective Eckerly wanted to do that day was place a bet on a horse. He didn't expect Darlene Johnson to walk into his office with her chocolate box. And certainly didn't expect what followed. . Book One of the Detectives That Don't Fit Series.,"['Novels', 'Contemporary', 'Book Club', 'Fiction', 'Drama']",4.48,244,https://www.goodreads.com/book/show/42941607-hairspray-and-lighter
1955,Positive Thoughts Positive Outcomes: Master the Fourteen Principles to Transform Your Life,Shane Senior,"Do you wish you could start all over again? Have you ever wondered if there was a way to change your life for the better? Positive Thoughts, Positive Outcomes is the quintessential step-by-step guide to transforming your life, using fourteen key tried and tested principles that others, including Author Shane Senior, has used for the past four years. Not only did the principles change his life for the better, but they've inspired him to help others reach their full potential and live the life they've always aspired to live. Take it from him, these principles work if applied correctly. There is no one size fits all for living the life of your dreams. Every individual needs to find their way. This book will help you find the best approach for you and provides the answers as to why they work and how to apply them to all aspects of your life, personal and professional.Inside, you'll learn: - How to use the Law of Attraction and what it is - How your environment affects your outcomes - How to build better, healthier habits for success - How the sub-conscious mind plays a crucial role in your everyday life - How living a life filled with gratitude can make your life better - How your health affects your mood and motivation - How positive affirmations can lead to success - And so much more! A book containing this much valuable information is hard to come by. There is life-changing value on every page. This guide has everything you need to know about your health, crystals, meditation, emotions, desires, and everything in between. Don't miss the opportunity to have all this information at your fingertips, contained within one book that's second to none.","['Health', 'Self Help']",4.02,47,https://www.goodreads.com/book/show/50816371-positive-thoughts-positive-outcomes
1956,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,"Over 700,000 copies of the original hardcover and paperback editions of this stunningly popular book have been sold. Karen Armstrong's superbly readable exploration of how the three dominant monotheistic religions of the world - Judaism, Christianity, and Islam - have shaped and altered the conception of God is a tour de force. One of Britain's foremost commentators on religious affairs, Armstrong traces the history of how men and women have perceived and experienced God, from the time of Abraham to the present. From classical philosophy and medieval mysticism to the Reformation, the Enlightenment, and the modern age of skepticism, Armstrong performs the near miracle of distilling the intellectual history of monotheism into one compelling volume.","['Religion', 'History', 'Nonfiction', 'Philosophy', 'Spirituality', 'Islam', 'Theology']",3.88,"48,549",https://www.goodreads.com/book/show/3873.A_History_of_God
1957,Blood and Guts in High School,Kathy Acker,"Janey lived in the locked room. Twice a day the Persian slave trader came in and taught her to be a whore. Otherwise there was nothing. One day she found a pencil stub and scrap of paper in a forgotten corner of the room. She began to write down her life, starting with ""Parents stink"" (her father, who is also her boyfriend, has fallen in love with another woman and is about to leave her). With Blood and Guts in High School, Kathy Acker, whose work has been labeled everything from post-punk porn to post-punk feminism, has created a brilliantly subversive narrative built from conversation, description, conjecture, and moments snatched from history and literature.~ groveatlantic.com","['Fiction', 'Feminism', 'Novels', 'Literature', 'Classics', '20th Century', 'Womens']",3.46,"5,353",https://www.goodreads.com/book/show/321950.Blood_and_Guts_in_High_School
1958,The Sunne in Splendour,Sharon Kay Penman,"A glorious novel of the controversial Richard III - a monarch betrayed in life by his allies and betrayed in death by history.In this beautifully rendered modern classic, Sharon Kay Penman redeems Richard III - vilified as the bitter, twisted, scheming hunchback who murdered his nephews, the princes in the Tower - from his maligned place in history with a dazzling combination of research and storytelling. Born into the treacherous courts of fifteenth-century England, in the midst of what history has called The War of the Roses, Richard was raised in the shadow of his charismatic brother, King Edward IV. Loyal to his friends and passionately in love with the one woman who was denied him, Richard emerges as a gifted man far more sinned against than sinning. This magnificent retelling of his life is filled with all of the sights and sounds of battle, the customs and lore of the fifteenth century, the rigors of court politics, and the passions and prejudices of royalty.","['Historical Fiction', 'Fiction', 'Historical', 'Medieval', 'British Literature', '15th Century', 'Plantagenet']",4.4,"21,393",https://www.goodreads.com/book/show/119829.The_Sunne_in_Splendour
1959,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Laurell K. Hamilton,"Anita Blake is small, dark, and dangerous. Her turf is the city of St. Louis. Her job: re-animating the dead and killing the undead who take things too far. But when the city’s most powerful vampire asks her to solve a series of vicious slayings, Anita must confront her greatest fear—her undeniable attraction to master vampire Jean-Claude, one of the creatures she is sworn to destroy...","['Urban Fantasy', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Horror', 'Fiction']",4.02,"144,223",https://www.goodreads.com/book/show/30281.Guilty_Pleasures
1960,"I Am Nujood, Age 10 and Divorced",Nujood Ali,"“I’m a simple village girl who has always obeyed the orders of my father and brothers. Since forever, I have learned to say yes to everything. Today I have decided to say no.” Nujood Ali's childhood came to an abrupt end in 2008 when her father arranged for her to be married to a man three times her age. With harrowing directness, Nujood tells of abuse at her husband's hands and of her daring escape. With the help of local advocates and the press, Nujood obtained her freedom—an extraordinary achievement in Yemen, where almost half of all girls are married under the legal age. Nujood's courageous defiance of both Yemeni customs and her own family has inspired other young girls in the Middle East to challenge their marriages.Hers is an unforgettable story of tragedy, triumph, and courage.","['Nonfiction', 'Memoir', 'Biography', 'Feminism', 'Biography Memoir', 'Autobiography', 'Religion']",3.81,"22,282",https://www.goodreads.com/book/show/6818019-i-am-nujood-age-10-and-divorced
1961,Buddenbrooks: The Decline of a Family,Thomas Mann,"Buddenbrooks, first published in Germany in 1901, when Mann was only twenty-six, has become a classic of modern literature.It is the story of four generations of a wealthy bourgeois family in northern Germany facing the advent of modernity; in an uncertain new world, the family’s bonds and traditions begin to disintegrate. As Mann charts the Buddenbrooks’ decline from prosperity to bankruptcy, from moral and psychic soundness to sickly piety, artistic decadence, and madness, he ushers the reader into a world of stunning vitality, pieced together from births and funerals, weddings and divorces, recipes, gossip, and earthy humor.In its immensity of scope, richness of detail, and fullness of humanity, buddenbrooks surpasses all other modern family chronicles. With remarkable fidelity to the original German text, this superb translation emphasizes the magnificent scale of Mann’s achievement in this riveting, tragic novel.","['Classics', 'Fiction', 'German Literature', 'Germany', 'Literature', 'Historical Fiction', 'Novels']",4.18,"28,034",https://www.goodreads.com/book/show/80890.Buddenbrooks
1962,"The Eight (The Eight, #1)",Katherine Neville,"Computer expert Cat Velis is heading for a job to Algeria. Before she goes, a mysterious fortune teller warns her of danger, and an antique dealer asks her to search for pieces to a valuable chess set that has been missing for years...In the South of France in 1790 two convent girls hide valuable pieces of a chess set all over the world, because the game that can be played with them is too powerful....","['Fiction', 'Mystery', 'Historical Fiction', 'Thriller', 'Fantasy', 'Adventure', 'Historical']",3.92,"41,087",https://www.goodreads.com/book/show/113310.The_Eight
1963,"Annabel Horton, Lost Witch of Salem",Olivia Hardy Ray,"From the Salem Witch trials through the Nineteenth Century and beyond, Annabel Horton is pursued by the devil’s disciple, Urban Grandier, the demonic priest from the incident at Loudon. She must take the bodies of those that the devil favors to protect her family. She must uncover the motive behind the illusive Ursula/Louis Bossidan, the scandalous cross-dresser who is pursuing her beautiful granddaughter, and she must learn, being one of God’s most powerful witches, how to use her power. But will it be enough to save her husband from Urbain’s fiery inferno? Will it be enough to save her children from demons greater than themselves? Read on, you will learn more…","['Witches', 'Historical Fiction', 'Paranormal', 'Fantasy', 'Historical', 'Fiction']",4.21,135,https://www.goodreads.com/book/show/27371034-annabel-horton-lost-witch-of-salem
1964,Pleasant Day,Vera Jane Cook,"In the town of Hollow Creek, South Carolina two separate murders, fifteen years apart, unite fifteen-year-old Pleasant Day and sixty-year-old Clarissa Blackwell. As Pleasant struggles with her mother's distance, her father's infidelity and the death of her best friend, she draws closer to Clarissa, an older woman with an uncanny, almost psychic, ability to 'read people.'As Clarissa uncovers the stories behind the murders, both Pleasant and Clarissa's worlds are transformed by the truths they’re forced to accept, and both find solace and strength in the shared histories that have shaped them.","['Fiction', 'Contemporary', 'Mystery Thriller', 'Novels']",4.31,"1,228",https://www.goodreads.com/book/show/44575575-pleasant-day
1965,"Where She Went (If I Stay, #2)",Gayle Forman,"It's been three years since the devastating accident... three years since Mia walked out of Adam's life forever.Now living on opposite coasts, Mia is Juilliard's rising star and Adam is LA tabloid fodder, thanks to his new rock star status and celebrity girlfriend. When Adam gets stuck in New York by himself, chance brings the couple together again, for one last night. As they explore the city that has become Mia's home, Adam and Mia revisit the past and open their hearts to the future - and each other.Told from Adam's point of view in the spare, lyrical prose that defined If I Stay, Where She Went explores the devastation of grief, the promise of new hope, and the flame of rekindled romance.","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Music', 'New Adult']",3.99,"287,266",https://www.goodreads.com/book/show/8492825-where-she-went
1966,The Information,Martin Amis,"Fame, envy, lust, violence, intrigues literary and criminal - they're all here in The Information. How does one writer hurt another writer? This is the question novelist Richard Tull mills over, for his friend Gwyn Barry has become a darling of book buyers, award committees, and TV interviewers, even as Tull himself sinks deeper into the sub-basement of literary failure. The only way out of this predicament, Tull believes, is to plot the demise of Barry.""With The Information, Amis delivers a portrait of middle-age realignment with more verbal felicity and unbridled reach than [anyone] since Tom Wolfe forged Bonfire of the Vanities.""—Houston Chronicle","['Fiction', 'Novels', 'Literature', 'Contemporary', 'Literary Fiction', 'British Literature', 'Thriller']",3.59,"5,788",https://www.goodreads.com/book/show/380017.The_Information
1967,Stavros,Juddy Anderson C. Punzalan,"It's not just about another family who lives in the woods. This is a powerful story of isolation and grief.Meet Stavros, one of the most powerful characters in the SOVEREIGN SERIES",[],4.4,206,https://www.goodreads.com/book/show/56581167-stavros
1968,Fables of the Reconstruction,Jez Jones,"Secrets, fantasies, and desires mingle as an author and her lover explore new depths of sexual intrigue through sensual pleasures. Part Victorian steampunk, part contemporary erotic discovery, Masquerade will leave you craving more.","['Zombies', 'Short Stories', 'Paranormal', 'Erotica', 'Horror', 'Steampunk']",4.13,159,https://www.goodreads.com/book/show/16100516-fables-of-the-reconstruction
1969,"Anansi Boys (American Gods, #2)",Neil Gaiman,God is dead. Meet the kids.Fat Charlie Nancy's normal life ended the moment his father dropped dead on a Florida karaoke stage. Charlie didn't know his dad was a god. And he never knew he had a brother. Now brother Spider's on his doorstep -- about to make Fat Charlie's life more interesting... and a lot more dangerous.,"['Fantasy', 'Fiction', 'Urban Fantasy', 'Mythology', 'Audiobook', 'Science Fiction Fantasy', 'Humor']",4.04,"215,030",https://www.goodreads.com/book/show/2744.Anansi_Boys
1970,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,"With the humor of Bridget Jones and the vitality of Augusten Burroughs, Julie Powell recounts how she conquered every recipe in Julia Child's Mastering the Art of French Cooking and saved her soul!Julie Powell is 30-years-old, living in a rundown apartment in Queens and working at a soul-sucking secretarial job that’s going nowhere. She needs something to break the monotony of her life, and she invents a deranged assignment. She will take her mother's dog-eared copy of Julia Child's 1961 classic Mastering the Art of French Cooking, and she will cook all 524 recipes. In the span of one year. At first she thinks it will be easy. But as she moves from the simple Potage Parmentier (potato soup) into the more complicated realm of aspics and crépes, she realizes there’s more to Mastering the Art of French Cooking than meets the eye. With Julia’s stern warble always in her ear, Julie haunts the local butcher, buying kidneys and sweetbreads. She sends her husband on late-night runs for yet more butter and rarely serves dinner before midnight. She discovers how to mold the perfect Orange Bavarian, the trick to extracting marrow from bone, and the intense pleasure of eating liver. And somewhere along the line she realizes she has turned her kitchen into a miracle of creation and cuisine. She has eclipsed her life’s ordinariness through spectacular humor, hysteria, and perseverance.","['Nonfiction', 'Memoir', 'Food', 'Cooking', 'Biography', 'Chick Lit', 'Biography Memoir']",3.71,"158,259",https://www.goodreads.com/book/show/13747.Julie_and_Julia
1971,Delta of Venus,Anaïs Nin,"Fifteen short stories by Anaïs Nin published posthumously in 1977 - though largely written in the 1940s as erotica for a private collector. In Delta of Venus Anaïs Nin penned a lush, magical world where the characters of her imagination possess the most universal of desires and exceptional of talents. Among these provocative stories, a Hungarian adventurer seduces wealthy women then vanishes with their money; a veiled woman selects strangers from a chic restaurant for private trysts; and a Parisian hatmaker named Mathilde leaves her husband for the opium dens of Peru. Delta of Venus is an extraordinarily rich and exotic collection from the master of erotic writing.Part of the Quality Paperback Book Club series with limited-edition art cover. Cover art painted by Monica Elias.","['Fiction', 'Erotica', 'Short Stories', 'Classics', 'Romance', 'Sexuality', 'France']",3.62,"21,124",https://www.goodreads.com/book/show/11041.Delta_of_Venus
1972,Flash Boys: A Wall Street Revolt,Michael   Lewis,"#1 New York Times Bestseller — With a new AfterwordIn Michael Lewis's game-changing bestseller, a small group of Wall Street iconoclasts realize that the U.S. stock market has been rigged for the benefit of insiders. They band together—some of them walking away from seven-figure salaries—to investigate, expose, and reform the insidious new ways that Wall Street generates profits. If you have any contact with the market, even a retirement account, this story is happening to you.","['Nonfiction', 'Business', 'Finance', 'Economics', 'History', 'Audiobook', 'Technology']",4.14,"79,846",https://www.goodreads.com/book/show/24724602-flash-boys
